artist_id,artist_name
014c3dd7-e488-49c9-bcbd-3ce8c651212e,RIOPY
a8106821-713a-474b-9ff2-218f7b169e01,Bloodhound Gang
c7eb301c-dabd-4ac1-bec6-4cfc19c94531,Atul Sharma
d8ace3d7-f8b1-4719-9206-eb4629a8327b,Tita Merello
79e4443c-b061-4f33-83ef-d7a514412c85,Gautam Gulati
39f26f48-fef5-422c-bcef-1d0fd1620973,LeeHi
847b41c2-8202-49bf-94a9-bded6b506a18,Walter Laborde
02664a56-a68d-4604-8ae4-8066d8955bc9,Danie Green
63795280-0183-41bc-997a-aeae23d2b8c0,DJ Magrones
973dd89c-fd7f-4f82-bef3-b8e2b6d3364c,Frankie
a694d7c1-1bd5-492c-86ba-a8237f9baf8b,Capital Monkey
bdcebf9e-3dee-40bf-a7de-686a33b41d16,HI-LO
f5ab84b1-45ea-4374-ad05-1631c6b351df,Jair Oliveira
0d666181-7b43-418b-bed8-b99959c02aaf,"Defiance, Ohio"
597a76a0-68fd-47ca-852f-d5c2991e154c,Zeee
f98a5c5b-dc10-40d0-9310-06096bee20e5,Electric Callboy
bd9a656d-3460-4c91-817a-635ce68a450e,Rex Williams
bb02f7ae-7b39-4b57-97c8-6bd3e9c9296f,Tamra Keenan
f57d6e3d-a951-4ebd-97b8-6efc6c08ee00,Alter Bridge
8b9fd98d-be38-46b3-af95-ef27d126baa2,Thrilla U
7b34c9f4-d742-4bf8-a13b-4b8022883b05,はてな
db626469-261f-4b82-9748-afe00c2b8ef7,Isabella Taviani
1b0c637d-f82d-4166-a5c7-015396208ba4,John Lee Hooker
e76c34f7-d90c-4971-9923-53e0d105cabe,Dream House
85e7f983-9840-4b97-9059-2ac68ae757ac,Puro Suco
569bd536-3f9b-4e75-beb4-5de3f2e129d4,Bright Sparks
15a2d696-7873-41b0-9e77-1f254c9a8be8,MYKKA
2afa17ca-0b5e-49d8-94a6-fee2fb289443,404vincent
29b8e212-462d-46ea-9325-fe40361cf18f,kSaya
35906c72-4f70-4ee3-a37e-4a0a837aec1f,Alvin & The Chipmunks
c3c879f7-9697-45a2-8ed9-c98ad066fa1c,Kay Tse
129d54d5-2025-49f1-9fcd-6fa38409aa36,Anthony Inglis
cc7f0614-2af9-4ff1-92e9-a4e15236cf40,Jorge Drexler
3ab4d9be-5136-4c6f-aeb6-e6efe9fe7e7b,The Andrew Lloyd Webber Orchestra
d1d0ebb5-beb0-45ac-855c-cfc4b79acaec,Kids Dance Party
